Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Months Code,Months,Unit,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023
"2","'004","Afghanistan","23013","Consumer Prices, Food Indices (2015 = 100)","6125","Value","7001","January","Index","24.356332","29.944592","33.421952","39.967661","43.401939","48.779789","53.967956","56.689401","73.872511","86.232258","71.506529","82.548897","86.835669","91.234802","99.530273","102.473425","103.618233","108.520050","114.527725","114.054183","120.880724","128.251956","153.851465","158.736219"
"2","'004","Afghanistan","23013","Consumer Prices, Food Indices (2015 = 100)","6125","Value","7002","February","Index","23.636242","29.393535","33.655360","40.525762","44.019701","49.702663","54.276349","57.096058","72.801196","80.977247","70.892457","81.811943","85.985310","91.436457","99.229332","100.599141","103.967168","108.701492","113.437296","113.597099","120.900114","127.332161","155.173082","159.969363"
"2","'004","Afghanistan","23013","Consumer Prices, Food Indices (2015 = 100)","6125","Value","7003","March","Index","23.485345","28.464927","34.118861","40.809961","44.802026","50.702816","54.428001","57.698882","74.007483","76.301187","70.930123","80.724417","86.372804","90.847713","99.972543","99.388333","104.236245","114.689456","112.827883","115.785785","121.659358","127.699447","155.096341","158.795801"
"2","'004","Afghanistan","23013","Consumer Prices, Food Indices (2015 = 100)","6125","Value","7004","April","Index","24.767194","29.052372","33.558974","39.922753","44.998908","50.744713","54.275887","58.367870","86.467030","73.539116","71.435150","81.243046","87.272065","92.947918","101.823335","99.195658","104.779901","114.595556","111.659316","117.371378","136.811308","130.335891","161.336283","156.018562"
"2","'004","Afghanistan","23013","Consumer Prices, Food Indices (2015 = 100)","6125","Value","7005","May","Index","25.956912","28.379892","33.302969","40.253992","44.405341","51.431153","54.487909","59.666340","96.096788","73.119733","72.128023","81.736597","87.642347","92.221944","102.051270","99.034873","104.226511","115.403680","111.214302","119.044418","134.430757","132.280617","163.012382","153.477296"
"2","'004","Afghanistan","23013","Consumer Prices, Food Indices (2015 = 100)","6125","Value","7006","June","Index","25.067091","28.071250","34.254008","41.097233","46.497263","51.733646","54.351095","60.730628","90.035910","72.736207","73.517066","81.644128","86.088601","92.056003","100.984044","98.768367","104.808678","116.211191","110.406413","116.870769","131.923420","131.438728","165.568171","152.777302"
"2","'004","Afghanistan","23013","Consumer Prices, Food Indices (2015 = 100)","6125","Value","7007","July","Index","26.203187","28.687943","34.957549","41.422617","45.777173","51.822372","54.398358","61.262464","90.852275","72.414344","74.317204","82.898881","85.071090","93.327834","102.708045","98.098591","105.922016","113.711408","109.761771","114.926413","129.529495","132.155664","165.040503",
"2","'004","Afghanistan","23013","Consumer Prices, Food Indices (2015 = 100)","6125","Value","7008","August","Index","28.706720","29.429929","35.550432","39.822146","45.626276","51.950139","54.824912","61.808052","93.325431","73.722047","76.754263","83.926463","85.933351","94.517208","101.236754","98.432503","106.205681","112.432266","109.569272","115.357437","127.927101","131.699530","162.188702",
"2","'004","Afghanistan","23013","Consumer Prices, Food Indices (2015 = 100)","6125","Value","7009","September","Index","30.529086","30.769979","36.948020","38.770008","46.908125","52.646325","55.295747","63.869151","94.622470","74.274004","77.863797","82.929758","85.821027","93.627996","100.011634","99.585059","106.567225","112.298027","110.133214","114.685030","125.471362","137.772399","162.003413",
"2","'004","Afghanistan","23013","Consumer Prices, Food Indices (2015 = 100)","6125","Value","7010","October","Index","28.749616","32.331183","37.880992","39.606426","48.097842","53.146534","55.775428","64.557971","92.505396","74.140887","78.690878","85.272024","87.098044","94.770904","100.397224","100.285840","106.861882","112.670435","111.711655","114.891168","126.094055","142.350333","159.846092",
